Batch_ID,Product_ID,Recipe_Rev,Customer_ID,Equipment_ID,Start_TS,End_TS,Operator_ID,Target_Mass_kg,Filled_Mass_kg,Disposition,Reference_Eligible,Investigation_Tag,Schema_Version,Data_Origin
SIM-B001,SIM-OX-01,SIM-R01,CUST-02,MIX-01,2026-07-01T08:00:00+09:00,2026-07-01T10:59:00+09:00,OP-02,1000,993.3,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B002,SIM-OX-01,SIM-R01,CUST-01,MIX-02,2026-07-02T08:00:00+09:00,2026-07-02T11:02:00+09:00,OP-03,1000,993.69,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B003,SIM-OX-01,SIM-R01,CUST-02,MIX-03,2026-07-03T08:00:00+09:00,2026-07-03T11:05:00+09:00,OP-04,1000,995.13,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B004,SIM-OX-01,SIM-R01,CUST-01,MIX-01,2026-07-04T08:00:00+09:00,2026-07-04T11:04:00+09:00,OP-01,1000,994.33,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B005,SIM-OX-01,SIM-R01,CUST-02,MIX-02,2026-07-05T08:00:00+09:00,2026-07-05T10:57:00+09:00,OP-02,1000,994.46,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B006,SIM-OX-01,SIM-R01,CUST-01,MIX-03,2026-07-06T08:00:00+09:00,2026-07-06T11:00:00+09:00,OP-03,1000,994.31,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B007,SIM-OX-01,SIM-R01,CUST-02,MIX-01,2026-07-07T08:00:00+09:00,2026-07-07T11:03:00+09:00,OP-04,1000,994.39,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B008,SIM-OX-01,SIM-R01,CUST-01,MIX-02,2026-07-08T08:00:00+09:00,2026-07-08T11:02:00+09:00,OP-01,1000,996.93,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B009,SIM-OX-01,SIM-R01,CUST-02,MIX-03,2026-07-09T08:00:00+09:00,2026-07-09T11:05:00+09:00,OP-02,1000,996.25,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B010,SIM-OX-01,SIM-R01,CUST-01,MIX-01,2026-07-10T08:00:00+09:00,2026-07-10T10:58:00+09:00,OP-03,1000,996.64,RELEASED,true,NONE,1.0,SYNTHETIC
