Checksheet_Record_ID,Batch_ID,Equipment_ID,Form_Rev,Prestart_TS,Line_Clearance,Cleaning_Verified,Calibration_Verified,Filter_Identity_Verified,Addition_Order_Verified,Inprocess_Check_TS,Inprocess_pH,Inprocess_Temp_C,Closeout_TS,Deviation_ID,Reviewer_ID,Comment,Data_Origin
CK-001,SIM-B001,MIX-01,SIM-CK01,2026-07-01T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-01T08:55:00+09:00,9.91,25.12,2026-07-01T11:04:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-002,SIM-B002,MIX-02,SIM-CK01,2026-07-02T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-02T08:55:00+09:00,9.83,25.04,2026-07-02T11:07:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-003,SIM-B003,MIX-03,SIM-CK01,2026-07-03T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-03T08:55:00+09:00,9.81,23.99,2026-07-03T11:10:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-004,SIM-B004,MIX-01,SIM-CK01,2026-07-04T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-04T08:55:00+09:00,9.96,24.61,2026-07-04T11:09:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-005,SIM-B005,MIX-02,SIM-CK01,2026-07-05T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-05T08:55:00+09:00,10.03,25.06,2026-07-05T11:02:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-006,SIM-B006,MIX-03,SIM-CK01,2026-07-06T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-06T08:55:00+09:00,9.96,23.63,2026-07-06T11:05:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-007,SIM-B007,MIX-01,SIM-CK01,2026-07-07T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-07T08:55:00+09:00,9.84,24.84,2026-07-07T11:08:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-008,SIM-B008,MIX-02,SIM-CK01,2026-07-08T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-08T08:55:00+09:00,9.97,25.21,2026-07-08T11:07:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-009,SIM-B009,MIX-03,SIM-CK01,2026-07-09T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-09T08:55:00+09:00,9.88,24.36,2026-07-09T11:10:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-010,SIM-B010,MIX-01,SIM-CK01,2026-07-10T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-10T08:55:00+09:00,9.95,24.27,2026-07-10T11:03:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-011,SIM-B011,MIX-02,SIM-CK01,2026-07-11T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-11T08:55:00+09:00,10.04,24.05,2026-07-11T11:06:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-012,SIM-B012,MIX-03,SIM-CK01,2026-07-12T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-12T08:55:00+09:00,10.04,24.91,2026-07-12T11:05:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-013,SIM-B013,MIX-01,SIM-CK01,2026-07-13T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-13T08:55:00+09:00,9.9,23.95,2026-07-13T11:08:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-014,SIM-B014,MIX-02,SIM-CK01,2026-07-14T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-14T08:55:00+09:00,9.87,23.65,2026-07-14T11:11:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-015,SIM-B015,MIX-03,SIM-CK01,2026-07-15T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-15T08:55:00+09:00,9.88,23.96,2026-07-15T11:04:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-016,SIM-B016,MIX-01,SIM-CK01,2026-07-16T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-16T08:55:00+09:00,10.06,24.47,2026-07-16T11:03:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
