Equipment_Record_ID,Batch_ID,Equipment_ID,Snapshot_TS,Tank_Working_Capacity_L,Wetted_Material,Filter_Assembly_ID,Filter_Lot_ID,Filter_Grade_ID,Filter_Installed_TS,Filter_Throughput_Before_L,Filter_Qualified_Limit_L,Last_Clean_End_TS,Last_PM_TS,Calibration_Due_Date,Data_Origin
EQP-001,SIM-B001,MIX-01,2026-07-01T07:50:00+09:00,1500,HDPE,FLT-01,FL-001,SIM-G01,2026-07-01T06:00:00+09:00,0,10000,2026-07-01T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-002,SIM-B002,MIX-02,2026-07-02T07:50:00+09:00,1500,HDPE,FLT-02,FL-002,SIM-G01,2026-07-02T06:00:00+09:00,0,10000,2026-07-02T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-003,SIM-B003,MIX-03,2026-07-03T07:50:00+09:00,1500,HDPE,FLT-03,FL-003,SIM-G01,2026-07-03T06:00:00+09:00,0,10000,2026-07-03T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-004,SIM-B004,MIX-01,2026-07-04T07:50:00+09:00,1500,HDPE,FLT-01,FL-004,SIM-G01,2026-07-04T06:00:00+09:00,0,10000,2026-07-04T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-005,SIM-B005,MIX-02,2026-07-05T07:50:00+09:00,1500,HDPE,FLT-02,FL-005,SIM-G01,2026-07-05T06:00:00+09:00,0,10000,2026-07-05T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-006,SIM-B006,MIX-03,2026-07-06T07:50:00+09:00,1500,HDPE,FLT-03,FL-006,SIM-G01,2026-07-06T06:00:00+09:00,0,10000,2026-07-06T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-007,SIM-B007,MIX-01,2026-07-07T07:50:00+09:00,1500,HDPE,FLT-01,FL-007,SIM-G01,2026-07-07T06:00:00+09:00,0,10000,2026-07-07T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-008,SIM-B008,MIX-02,2026-07-08T07:50:00+09:00,1500,HDPE,FLT-02,FL-008,SIM-G01,2026-07-08T06:00:00+09:00,0,10000,2026-07-08T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-009,SIM-B009,MIX-03,2026-07-09T07:50:00+09:00,1500,HDPE,FLT-03,FL-009,SIM-G01,2026-07-09T06:00:00+09:00,0,10000,2026-07-09T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-010,SIM-B010,MIX-01,2026-07-10T07:50:00+09:00,1500,HDPE,FLT-01,FL-010,SIM-G01,2026-07-10T06:00:00+09:00,0,10000,2026-07-10T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-011,SIM-B011,MIX-02,2026-07-11T07:50:00+09:00,1500,HDPE,FLT-02,FL-011,SIM-G01,2026-07-11T06:00:00+09:00,0,10000,2026-07-11T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-012,SIM-B012,MIX-03,2026-07-12T07:50:00+09:00,1500,HDPE,FLT-03,FL-012,SIM-G01,2026-07-12T06:00:00+09:00,0,10000,2026-07-12T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-013,SIM-B013,MIX-01,2026-07-13T07:50:00+09:00,1500,HDPE,FLT-01,FL-013,SIM-G01,2026-07-13T06:00:00+09:00,0,10000,2026-07-13T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-014,SIM-B014,MIX-02,2026-07-14T07:50:00+09:00,1500,HDPE,FLT-02,FL-014,SIM-G01,2026-07-14T06:00:00+09:00,0,10000,2026-07-14T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-015,SIM-B015,MIX-03,2026-07-15T07:50:00+09:00,1500,HDPE,FLT-03,FL-015,SIM-G01,2026-07-15T06:00:00+09:00,0,10000,2026-07-15T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-016,SIM-B016,MIX-01,2026-07-16T07:50:00+09:00,1500,HDPE,FLT-01,FL-016,SIM-G01,2026-07-16T06:00:00+09:00,0,10000,2026-07-16T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
