Material_Record_ID,Batch_ID,Silica_Lot_ID,Silica_Supplier_ID,Silica_COA_ID,Silica_Expiry_Date,Silica_Feed_Solids_wt_pct,Silica_Charge_kg,Additive_Lot_ID,Additive_Charge_kg,DIW_Supply_ID,DIW_Charge_kg,DIW_Conductivity_uS_cm,Charge_Start_TS,Charge_End_TS,Incoming_Status,Data_Origin
MAT-001,SIM-B001,SIL-01,SUP-01,COA-SIL-01,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.099,2026-07-01T08:00:00+09:00,2026-07-01T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-002,SIM-B002,SIL-01,SUP-01,COA-SIL-01,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.116,2026-07-02T08:00:00+09:00,2026-07-02T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-003,SIM-B003,SIL-01,SUP-01,COA-SIL-01,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.119,2026-07-03T08:00:00+09:00,2026-07-03T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-004,SIM-B004,SIL-01,SUP-01,COA-SIL-01,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.098,2026-07-04T08:00:00+09:00,2026-07-04T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-005,SIM-B005,SIL-01,SUP-01,COA-SIL-01,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.092,2026-07-05T08:00:00+09:00,2026-07-05T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-006,SIM-B006,SIL-01,SUP-01,COA-SIL-01,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.105,2026-07-06T08:00:00+09:00,2026-07-06T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-007,SIM-B007,SIL-01,SUP-01,COA-SIL-01,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.109,2026-07-07T08:00:00+09:00,2026-07-07T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-008,SIM-B008,SIL-01,SUP-01,COA-SIL-01,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.115,2026-07-08T08:00:00+09:00,2026-07-08T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-009,SIM-B009,SIL-01,SUP-01,COA-SIL-01,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.1,2026-07-09T08:00:00+09:00,2026-07-09T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-010,SIM-B010,SIL-01,SUP-01,COA-SIL-01,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.085,2026-07-10T08:00:00+09:00,2026-07-10T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-011,SIM-B011,SIL-02,SUP-01,COA-SIL-02,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.083,2026-07-11T08:00:00+09:00,2026-07-11T08:35:00+09:00,ACCEPTED,SYNTHETIC
