QC_Record_ID,Batch_ID,Sample_ID,Sample_TS,Result_TS,Sample_Point,Method_Set_ID,Spec_Rev,pH_25C,Solids_wt_pct,Viscosity_mPa_s,PSD_D50_nm,PSD_D90_nm,PSD_Dilution_Factor,LPC_gt_0p5um_count_mL,LPC_gt_1p0um_count_mL,LPC_Dilution_Factor,Zeta_mV,Zeta_Dilution_Factor,Zeta_Test_pH,Zeta_Status,Fe_ug_kg,Fe_Qualifier,Fe_LOQ_ug_kg,QC_Status,Data_Origin
QC-001,SIM-B001,SMP-001,2026-07-01T10:57:00+09:00,2026-07-01T12:59:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,9.96,10.05,1.841,92.3,131.1,100,1382,95,100,-39.9,10,9.86,MEASURED,0.226,EQ,0.1,PASS,SYNTHETIC
QC-002,SIM-B002,SMP-002,2026-07-02T11:00:00+09:00,2026-07-02T13:02:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,9.88,9.87,1.548,91.3,137.4,100,1185,65,100,-41.8,10,9.78,MEASURED,0.174,EQ,0.1,PASS,SYNTHETIC
QC-003,SIM-B003,SMP-003,2026-07-03T11:03:00+09:00,2026-07-03T13:05:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,9.86,9.89,1.578,85.6,135.2,100,775,98,100,-41.8,10,9.76,MEASURED,0.158,EQ,0.1,PASS,SYNTHETIC
QC-004,SIM-B004,SMP-004,2026-07-04T11:02:00+09:00,2026-07-04T13:04:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.01,9.91,1.738,86.2,136.5,100,931,85,100,-41,10,9.91,MEASURED,0.484,EQ,0.1,PASS,SYNTHETIC
QC-005,SIM-B005,SMP-005,2026-07-05T10:55:00+09:00,2026-07-05T12:57:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.08,10.14,1.735,94.5,119.7,100,1412,97,100,-40.9,10,9.98,MEASURED,0.187,EQ,0.1,PASS,SYNTHETIC
QC-006,SIM-B006,SMP-006,2026-07-06T10:58:00+09:00,2026-07-06T13:00:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.01,9.87,1.559,85.3,135.5,100,864,46,100,-42.9,10,9.91,MEASURED,0.186,EQ,0.1,PASS,SYNTHETIC
QC-007,SIM-B007,SMP-007,2026-07-07T11:01:00+09:00,2026-07-07T13:03:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,9.89,10.11,1.839,93.8,136.6,100,738,76,100,-39.5,10,9.79,MEASURED,0.308,EQ,0.1,PASS,SYNTHETIC
QC-008,SIM-B008,SMP-008,2026-07-08T11:00:00+09:00,2026-07-08T13:02:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.02,10.01,1.625,87.3,122.6,100,881,106,100,-40.7,10,9.92,MEASURED,0.227,EQ,0.1,PASS,SYNTHETIC
QC-009,SIM-B009,SMP-009,2026-07-09T11:03:00+09:00,2026-07-09T13:05:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,9.93,9.98,1.805,86.4,129,100,904,112,100,-38.6,10,9.83,MEASURED,0.258,EQ,0.1,PASS,SYNTHETIC
QC-010,SIM-B010,SMP-010,2026-07-10T10:56:00+09:00,2026-07-10T12:58:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10,10.14,1.701,88.5,130,100,781,90,100,-40.4,10,9.9,MEASURED,0.38,EQ,0.1,PASS,SYNTHETIC
