"Batch_ID","Product_ID","Recipe_Rev","Site_ID","Line_ID","Equipment_ID","Start_TS","End_TS","Disposition","Data_Origin","Reference_Eligible"
"SIM-S0001","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-08-31T22:00:00Z","2026-08-31T23:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0002","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-08-31T22:00:00Z","2026-08-31T23:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0003","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-08-31T22:00:00Z","2026-08-31T23:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0004","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-08-31T23:30:00Z","2026-09-01T00:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0005","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-08-31T23:30:00Z","2026-09-01T00:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0006","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-08-31T23:30:00Z","2026-09-01T00:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0007","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-01T01:00:00Z","2026-09-01T02:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0008","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-01T01:00:00Z","2026-09-01T02:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0009","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-01T01:00:00Z","2026-09-01T02:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0010","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-01T02:30:00Z","2026-09-01T03:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0011","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-01T02:30:00Z","2026-09-01T03:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0012","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-01T02:30:00Z","2026-09-01T03:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0013","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-01T04:00:00Z","2026-09-01T05:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0014","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-01T04:00:00Z","2026-09-01T05:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0015","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-01T04:00:00Z","2026-09-01T05:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0016","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-01T05:30:00Z","2026-09-01T06:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0017","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-01T05:30:00Z","2026-09-01T06:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0018","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-01T05:30:00Z","2026-09-01T06:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0019","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-01T07:00:00Z","2026-09-01T08:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0020","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-01T07:00:00Z","2026-09-01T08:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0021","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-01T07:00:00Z","2026-09-01T08:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0022","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-01T08:30:00Z","2026-09-01T09:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0023","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-01T08:30:00Z","2026-09-01T09:50:00Z","RELEASED","SYNTHETIC","true"
