"Checksheet_Record_ID","Scope_Type","Scope_ID","Checklist_Type","Valid_From_TS","Valid_To_TS","Completed_TS","Result","Comment","Data_Origin"
"SHIFT-0","SITE","SITE-01","SHIFT_PRESTART","2026-08-31T22:00:00Z","2026-09-01T10:00:00Z","2026-08-31T22:00:00Z","PASS","SYNTHETIC factory-wide 12-hour shift","SYNTHETIC"
"SHIFT-1","SITE","SITE-01","SHIFT_PRESTART","2026-09-01T10:00:00Z","2026-09-01T22:00:00Z","2026-09-01T10:00:00Z","PASS","SYNTHETIC factory-wide 12-hour shift","SYNTHETIC"
"SHIFT-2","SITE","SITE-01","SHIFT_PRESTART","2026-09-01T22:00:00Z","2026-09-02T10:00:00Z","2026-09-01T22:00:00Z","PASS","SYNTHETIC factory-wide 12-hour shift","SYNTHETIC"
"SHIFT-3","SITE","SITE-01","SHIFT_PRESTART","2026-09-02T10:00:00Z","2026-09-02T22:00:00Z","2026-09-02T10:00:00Z","PASS","SYNTHETIC factory-wide 12-hour shift","SYNTHETIC"
"SHIFT-4","SITE","SITE-01","SHIFT_PRESTART","2026-09-02T22:00:00Z","2026-09-03T10:00:00Z","2026-09-02T22:00:00Z","PASS","SYNTHETIC factory-wide 12-hour shift","SYNTHETIC"
"SHIFT-5","SITE","SITE-01","SHIFT_PRESTART","2026-09-03T10:00:00Z","2026-09-03T22:00:00Z","2026-09-03T10:00:00Z","PASS","SYNTHETIC factory-wide 12-hour shift","SYNTHETIC"
"SHIFT-6","SITE","SITE-01","SHIFT_PRESTART","2026-09-03T22:00:00Z","2026-09-04T10:00:00Z","2026-09-03T22:00:00Z","PASS","SYNTHETIC factory-wide 12-hour shift","SYNTHETIC"
"SHIFT-7","SITE","SITE-01","SHIFT_PRESTART","2026-09-04T10:00:00Z","2026-09-04T22:00:00Z","2026-09-04T10:00:00Z","PASS","SYNTHETIC factory-wide 12-hour shift","SYNTHETIC"
"SHIFT-8","SITE","SITE-01","SHIFT_PRESTART","2026-09-04T22:00:00Z","2026-09-05T10:00:00Z","2026-09-04T22:00:00Z","PASS","SYNTHETIC factory-wide 12-hour shift","SYNTHETIC"
"SHIFT-9","SITE","SITE-01","SHIFT_PRESTART","2026-09-05T10:00:00Z","2026-09-05T22:00:00Z","2026-09-05T10:00:00Z","PASS","SYNTHETIC factory-wide 12-hour shift","SYNTHETIC"
