"Material_Record_ID","Batch_ID","Material_ID","Lot_ID","Quantity","Unit","Charge_TS","Data_Origin"
"SIM-S0001-M1","SIM-S0001","SILICA","SILICA-LOT-1","100","kg","2026-08-31T22:05:00Z","SYNTHETIC"
"SIM-S0001-M2","SIM-S0001","ADDITIVE","ADDITIVE-LOT-1","10","kg","2026-08-31T22:05:00Z","SYNTHETIC"
"SIM-S0001-M3","SIM-S0001","DIW","DIW-LOT-1","890","kg","2026-08-31T22:05:00Z","SYNTHETIC"
"SIM-S0002-M1","SIM-S0002","SILICA","SILICA-LOT-1","100","kg","2026-08-31T22:05:00Z","SYNTHETIC"
"SIM-S0002-M2","SIM-S0002","ADDITIVE","ADDITIVE-LOT-1","10","kg","2026-08-31T22:05:00Z","SYNTHETIC"
"SIM-S0002-M3","SIM-S0002","DIW","DIW-LOT-1","890","kg","2026-08-31T22:05:00Z","SYNTHETIC"
"SIM-S0003-M1","SIM-S0003","SILICA","SILICA-LOT-1","100","kg","2026-08-31T22:05:00Z","SYNTHETIC"
"SIM-S0003-M2","SIM-S0003","ADDITIVE","ADDITIVE-LOT-1","10","kg","2026-08-31T22:05:00Z","SYNTHETIC"
"SIM-S0003-M3","SIM-S0003","DIW","DIW-LOT-1","890","kg","2026-08-31T22:05:00Z","SYNTHETIC"
"SIM-S0004-M1","SIM-S0004","SILICA","SILICA-LOT-1","100","kg","2026-08-31T23:35:00Z","SYNTHETIC"
"SIM-S0004-M2","SIM-S0004","ADDITIVE","ADDITIVE-LOT-1","10","kg","2026-08-31T23:35:00Z","SYNTHETIC"
"SIM-S0004-M3","SIM-S0004","DIW","DIW-LOT-1","890","kg","2026-08-31T23:35:00Z","SYNTHETIC"
"SIM-S0005-M1","SIM-S0005","SILICA","SILICA-LOT-1","100","kg","2026-08-31T23:35:00Z","SYNTHETIC"
"SIM-S0005-M2","SIM-S0005","ADDITIVE","ADDITIVE-LOT-1","10","kg","2026-08-31T23:35:00Z","SYNTHETIC"
"SIM-S0005-M3","SIM-S0005","DIW","DIW-LOT-1","890","kg","2026-08-31T23:35:00Z","SYNTHETIC"
"SIM-S0006-M1","SIM-S0006","SILICA","SILICA-LOT-1","100","kg","2026-08-31T23:35:00Z","SYNTHETIC"
"SIM-S0006-M2","SIM-S0006","ADDITIVE","ADDITIVE-LOT-1","10","kg","2026-08-31T23:35:00Z","SYNTHETIC"
"SIM-S0006-M3","SIM-S0006","DIW","DIW-LOT-1","890","kg","2026-08-31T23:35:00Z","SYNTHETIC"
"SIM-S0007-M1","SIM-S0007","SILICA","SILICA-LOT-2","100","kg","2026-09-01T01:05:00Z","SYNTHETIC"
"SIM-S0007-M2","SIM-S0007","ADDITIVE","ADDITIVE-LOT-2","10","kg","2026-09-01T01:05:00Z","SYNTHETIC"
"SIM-S0007-M3","SIM-S0007","DIW","DIW-LOT-2","890","kg","2026-09-01T01:05:00Z","SYNTHETIC"
"SIM-S0008-M1","SIM-S0008","SILICA","SILICA-LOT-2","100","kg","2026-09-01T01:05:00Z","SYNTHETIC"
"SIM-S0008-M2","SIM-S0008","ADDITIVE","ADDITIVE-LOT-2","10","kg","2026-09-01T01:05:00Z","SYNTHETIC"
"SIM-S0008-M3","SIM-S0008","DIW","DIW-LOT-2","890","kg","2026-09-01T01:05:00Z","SYNTHETIC"
"SIM-S0009-M1","SIM-S0009","SILICA","SILICA-LOT-2","100","kg","2026-09-01T01:05:00Z","SYNTHETIC"
"SIM-S0009-M2","SIM-S0009","ADDITIVE","ADDITIVE-LOT-2","10","kg","2026-09-01T01:05:00Z","SYNTHETIC"
"SIM-S0009-M3","SIM-S0009","DIW","DIW-LOT-2","890","kg","2026-09-01T01:05:00Z","SYNTHETIC"
"SIM-S0010-M1","SIM-S0010","SILICA","SILICA-LOT-2","100","kg","2026-09-01T02:35:00Z","SYNTHETIC"
"SIM-S0010-M2","SIM-S0010","ADDITIVE","ADDITIVE-LOT-2","10","kg","2026-09-01T02:35:00Z","SYNTHETIC"
"SIM-S0010-M3","SIM-S0010","DIW","DIW-LOT-2","890","kg","2026-09-01T02:35:00Z","SYNTHETIC"
"SIM-S0011-M1","SIM-S0011","SILICA","SILICA-LOT-2","100","kg","2026-09-01T02:35:00Z","SYNTHETIC"
"SIM-S0011-M2","SIM-S0011","ADDITIVE","ADDITIVE-LOT-2","10","kg","2026-09-01T02:35:00Z","SYNTHETIC"
"SIM-S0011-M3","SIM-S0011","DIW","DIW-LOT-2","890","kg","2026-09-01T02:35:00Z","SYNTHETIC"
"SIM-S0012-M1","SIM-S0012","SILICA","SILICA-LOT-2","100","kg","2026-09-01T02:35:00Z","SYNTHETIC"
"SIM-S0012-M2","SIM-S0012","ADDITIVE","ADDITIVE-LOT-2","10","kg","2026-09-01T02:35:00Z","SYNTHETIC"
"SIM-S0012-M3","SIM-S0012","DIW","DIW-LOT-2","890","kg","2026-09-01T02:35:00Z","SYNTHETIC"
"SIM-S0013-M1","SIM-S0013","SILICA","SILICA-LOT-3","100","kg","2026-09-01T04:05:00Z","SYNTHETIC"
"SIM-S0013-M2","SIM-S0013","ADDITIVE","ADDITIVE-LOT-3","10","kg","2026-09-01T04:05:00Z","SYNTHETIC"
"SIM-S0013-M3","SIM-S0013","DIW","DIW-LOT-3","890","kg","2026-09-01T04:05:00Z","SYNTHETIC"
"SIM-S0014-M1","SIM-S0014","SILICA","SILICA-LOT-3","100","kg","2026-09-01T04:05:00Z","SYNTHETIC"
"SIM-S0014-M2","SIM-S0014","ADDITIVE","ADDITIVE-LOT-3","10","kg","2026-09-01T04:05:00Z","SYNTHETIC"
"SIM-S0014-M3","SIM-S0014","DIW","DIW-LOT-3","890","kg","2026-09-01T04:05:00Z","SYNTHETIC"
"SIM-S0015-M1","SIM-S0015","SILICA","SILICA-LOT-3","100","kg","2026-09-01T04:05:00Z","SYNTHETIC"
"SIM-S0015-M2","SIM-S0015","ADDITIVE","ADDITIVE-LOT-3","10","kg","2026-09-01T04:05:00Z","SYNTHETIC"
"SIM-S0015-M3","SIM-S0015","DIW","DIW-LOT-3","890","kg","2026-09-01T04:05:00Z","SYNTHETIC"
"SIM-S0016-M1","SIM-S0016","SILICA","SILICA-LOT-3","100","kg","2026-09-01T05:35:00Z","SYNTHETIC"
"SIM-S0016-M2","SIM-S0016","ADDITIVE","ADDITIVE-LOT-3","10","kg","2026-09-01T05:35:00Z","SYNTHETIC"
"SIM-S0016-M3","SIM-S0016","DIW","DIW-LOT-3","890","kg","2026-09-01T05:35:00Z","SYNTHETIC"
"SIM-S0017-M1","SIM-S0017","SILICA","SILICA-LOT-3","100","kg","2026-09-01T05:35:00Z","SYNTHETIC"
"SIM-S0017-M2","SIM-S0017","ADDITIVE","ADDITIVE-LOT-3","10","kg","2026-09-01T05:35:00Z","SYNTHETIC"
"SIM-S0017-M3","SIM-S0017","DIW","DIW-LOT-3","890","kg","2026-09-01T05:35:00Z","SYNTHETIC"
"SIM-S0018-M1","SIM-S0018","SILICA","SILICA-LOT-3","100","kg","2026-09-01T05:35:00Z","SYNTHETIC"
"SIM-S0018-M2","SIM-S0018","ADDITIVE","ADDITIVE-LOT-3","10","kg","2026-09-01T05:35:00Z","SYNTHETIC"
"SIM-S0018-M3","SIM-S0018","DIW","DIW-LOT-3","890","kg","2026-09-01T05:35:00Z","SYNTHETIC"
"SIM-S0019-M1","SIM-S0019","SILICA","SILICA-LOT-4","100","kg","2026-09-01T07:05:00Z","SYNTHETIC"
"SIM-S0019-M2","SIM-S0019","ADDITIVE","ADDITIVE-LOT-4","10","kg","2026-09-01T07:05:00Z","SYNTHETIC"
"SIM-S0019-M3","SIM-S0019","DIW","DIW-LOT-4","890","kg","2026-09-01T07:05:00Z","SYNTHETIC"
"SIM-S0020-M1","SIM-S0020","SILICA","SILICA-LOT-4","100","kg","2026-09-01T07:05:00Z","SYNTHETIC"
"SIM-S0020-M2","SIM-S0020","ADDITIVE","ADDITIVE-LOT-4","10","kg","2026-09-01T07:05:00Z","SYNTHETIC"
"SIM-S0020-M3","SIM-S0020","DIW","DIW-LOT-4","890","kg","2026-09-01T07:05:00Z","SYNTHETIC"
"SIM-S0021-M1","SIM-S0021","SILICA","SILICA-LOT-4","100","kg","2026-09-01T07:05:00Z","SYNTHETIC"
"SIM-S0021-M2","SIM-S0021","ADDITIVE","ADDITIVE-LOT-4","10","kg","2026-09-01T07:05:00Z","SYNTHETIC"
"SIM-S0021-M3","SIM-S0021","DIW","DIW-LOT-4","890","kg","2026-09-01T07:05:00Z","SYNTHETIC"
"SIM-S0022-M1","SIM-S0022","SILICA","SILICA-LOT-4","100","kg","2026-09-01T08:35:00Z","SYNTHETIC"
"SIM-S0022-M2","SIM-S0022","ADDITIVE","ADDITIVE-LOT-4","10","kg","2026-09-01T08:35:00Z","SYNTHETIC"
"SIM-S0022-M3","SIM-S0022","DIW","DIW-LOT-4","890","kg","2026-09-01T08:35:00Z","SYNTHETIC"
"SIM-S0023-M1","SIM-S0023","SILICA","SILICA-LOT-4","100","kg","2026-09-01T08:35:00Z","SYNTHETIC"
"SIM-S0023-M2","SIM-S0023","ADDITIVE","ADDITIVE-LOT-4","10","kg","2026-09-01T08:35:00Z","SYNTHETIC"
"SIM-S0023-M3","SIM-S0023","DIW","DIW-LOT-4","890","kg","2026-09-01T08:35:00Z","SYNTHETIC"
"SIM-S0024-M1","SIM-S0024","SILICA","SILICA-LOT-4","100","kg","2026-09-01T08:35:00Z","SYNTHETIC"
"SIM-S0024-M2","SIM-S0024","ADDITIVE","ADDITIVE-LOT-4","10","kg","2026-09-01T08:35:00Z","SYNTHETIC"
"SIM-S0024-M3","SIM-S0024","DIW","DIW-LOT-4","890","kg","2026-09-01T08:35:00Z","SYNTHETIC"
