"Process_Record_ID","Batch_ID","Step_Run_ID","Step_ID","Equipment_ID","Parameter","Value","Unit","Event_TS","Step_Start_TS","Step_End_TS","Data_Origin","Target_Value","Upper_Limit","Target_Duration_min","Upper_Duration_min"
"SIM-S0001-P0","SIM-S0001","SIM-S0001-MIX","MIX","MIX-1","Temperature","26.2066","C","2026-08-31T22:10:00Z","2026-08-31T22:10:00Z","2026-08-31T23:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0001-P1","SIM-S0001","SIM-S0001-MIX","MIX","MIX-1","Temperature","26.1502","C","2026-08-31T22:18:00Z","2026-08-31T22:10:00Z","2026-08-31T23:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0001-P2","SIM-S0001","SIM-S0001-MIX","MIX","MIX-1","Temperature","25.8502","C","2026-08-31T22:26:00Z","2026-08-31T22:10:00Z","2026-08-31T23:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0001-P3","SIM-S0001","SIM-S0001-MIX","MIX","MIX-1","Temperature","26.2677","C","2026-08-31T22:34:00Z","2026-08-31T22:10:00Z","2026-08-31T23:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0001-P4","SIM-S0001","SIM-S0001-MIX","MIX","MIX-1","Temperature","26.0356","C","2026-08-31T22:42:00Z","2026-08-31T22:10:00Z","2026-08-31T23:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0001-P5","SIM-S0001","SIM-S0001-MIX","MIX","MIX-1","Temperature","26.2011","C","2026-08-31T22:50:00Z","2026-08-31T22:10:00Z","2026-08-31T23:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0002-P0","SIM-S0002","SIM-S0002-MIX","MIX","MIX-2","Temperature","25.0458","C","2026-08-31T22:10:00Z","2026-08-31T22:10:00Z","2026-08-31T23:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0002-P1","SIM-S0002","SIM-S0002-MIX","MIX","MIX-2","Temperature","25.431","C","2026-08-31T22:18:00Z","2026-08-31T22:10:00Z","2026-08-31T23:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0002-P2","SIM-S0002","SIM-S0002-MIX","MIX","MIX-2","Temperature","25.0453","C","2026-08-31T22:26:00Z","2026-08-31T22:10:00Z","2026-08-31T23:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0002-P3","SIM-S0002","SIM-S0002-MIX","MIX","MIX-2","Temperature","25.1255","C","2026-08-31T22:34:00Z","2026-08-31T22:10:00Z","2026-08-31T23:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0002-P4","SIM-S0002","SIM-S0002-MIX","MIX","MIX-2","Temperature","25.1142","C","2026-08-31T22:42:00Z","2026-08-31T22:10:00Z","2026-08-31T23:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0002-P5","SIM-S0002","SIM-S0002-MIX","MIX","MIX-2","Temperature","25.1497","C","2026-08-31T22:50:00Z","2026-08-31T22:10:00Z","2026-08-31T23:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0003-P0","SIM-S0003","SIM-S0003-MIX","MIX","MIX-3","Temperature","25.7829","C","2026-08-31T22:10:00Z","2026-08-31T22:10:00Z","2026-08-31T23:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0003-P1","SIM-S0003","SIM-S0003-MIX","MIX","MIX-3","Temperature","26.0653","C","2026-08-31T22:18:00Z","2026-08-31T22:10:00Z","2026-08-31T23:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0003-P2","SIM-S0003","SIM-S0003-MIX","MIX","MIX-3","Temperature","25.8924","C","2026-08-31T22:26:00Z","2026-08-31T22:10:00Z","2026-08-31T23:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0003-P3","SIM-S0003","SIM-S0003-MIX","MIX","MIX-3","Temperature","26.0037","C","2026-08-31T22:34:00Z","2026-08-31T22:10:00Z","2026-08-31T23:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0003-P4","SIM-S0003","SIM-S0003-MIX","MIX","MIX-3","Temperature","25.7914","C","2026-08-31T22:42:00Z","2026-08-31T22:10:00Z","2026-08-31T23:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0003-P5","SIM-S0003","SIM-S0003-MIX","MIX","MIX-3","Temperature","25.9281","C","2026-08-31T22:50:00Z","2026-08-31T22:10:00Z","2026-08-31T23:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0004-P0","SIM-S0004","SIM-S0004-MIX","MIX","MIX-1","Temperature","25.6223","C","2026-08-31T23:40:00Z","2026-08-31T23:40:00Z","2026-09-01T00:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0004-P1","SIM-S0004","SIM-S0004-MIX","MIX","MIX-1","Temperature","25.3464","C","2026-08-31T23:48:00Z","2026-08-31T23:40:00Z","2026-09-01T00:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0004-P2","SIM-S0004","SIM-S0004-MIX","MIX","MIX-1","Temperature","25.6888","C","2026-08-31T23:56:00Z","2026-08-31T23:40:00Z","2026-09-01T00:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0004-P3","SIM-S0004","SIM-S0004-MIX","MIX","MIX-1","Temperature","25.3617","C","2026-09-01T00:04:00Z","2026-08-31T23:40:00Z","2026-09-01T00:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0004-P4","SIM-S0004","SIM-S0004-MIX","MIX","MIX-1","Temperature","25.5516","C","2026-09-01T00:12:00Z","2026-08-31T23:40:00Z","2026-09-01T00:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0004-P5","SIM-S0004","SIM-S0004-MIX","MIX","MIX-1","Temperature","25.3502","C","2026-09-01T00:20:00Z","2026-08-31T23:40:00Z","2026-09-01T00:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0005-P0","SIM-S0005","SIM-S0005-MIX","MIX","MIX-2","Temperature","24.1386","C","2026-08-31T23:40:00Z","2026-08-31T23:40:00Z","2026-09-01T00:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0005-P1","SIM-S0005","SIM-S0005-MIX","MIX","MIX-2","Temperature","24.5788","C","2026-08-31T23:48:00Z","2026-08-31T23:40:00Z","2026-09-01T00:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0005-P2","SIM-S0005","SIM-S0005-MIX","MIX","MIX-2","Temperature","24.352","C","2026-08-31T23:56:00Z","2026-08-31T23:40:00Z","2026-09-01T00:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0005-P3","SIM-S0005","SIM-S0005-MIX","MIX","MIX-2","Temperature","24.0779","C","2026-09-01T00:04:00Z","2026-08-31T23:40:00Z","2026-09-01T00:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0005-P4","SIM-S0005","SIM-S0005-MIX","MIX","MIX-2","Temperature","24.1723","C","2026-09-01T00:12:00Z","2026-08-31T23:40:00Z","2026-09-01T00:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0005-P5","SIM-S0005","SIM-S0005-MIX","MIX","MIX-2","Temperature","24.4555","C","2026-09-01T00:20:00Z","2026-08-31T23:40:00Z","2026-09-01T00:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0006-P0","SIM-S0006","SIM-S0006-MIX","MIX","MIX-3","Temperature","25.4897","C","2026-08-31T23:40:00Z","2026-08-31T23:40:00Z","2026-09-01T00:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0006-P1","SIM-S0006","SIM-S0006-MIX","MIX","MIX-3","Temperature","25.6802","C","2026-08-31T23:48:00Z","2026-08-31T23:40:00Z","2026-09-01T00:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0006-P2","SIM-S0006","SIM-S0006-MIX","MIX","MIX-3","Temperature","25.6426","C","2026-08-31T23:56:00Z","2026-08-31T23:40:00Z","2026-09-01T00:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0006-P3","SIM-S0006","SIM-S0006-MIX","MIX","MIX-3","Temperature","25.648","C","2026-09-01T00:04:00Z","2026-08-31T23:40:00Z","2026-09-01T00:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0006-P4","SIM-S0006","SIM-S0006-MIX","MIX","MIX-3","Temperature","25.5893","C","2026-09-01T00:12:00Z","2026-08-31T23:40:00Z","2026-09-01T00:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0006-P5","SIM-S0006","SIM-S0006-MIX","MIX","MIX-3","Temperature","25.7066","C","2026-09-01T00:20:00Z","2026-08-31T23:40:00Z","2026-09-01T00:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0007-P0","SIM-S0007","SIM-S0007-MIX","MIX","MIX-1","Temperature","24.313","C","2026-09-01T01:10:00Z","2026-09-01T01:10:00Z","2026-09-01T02:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0007-P1","SIM-S0007","SIM-S0007-MIX","MIX","MIX-1","Temperature","24.0737","C","2026-09-01T01:18:00Z","2026-09-01T01:10:00Z","2026-09-01T02:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0007-P2","SIM-S0007","SIM-S0007-MIX","MIX","MIX-1","Temperature","24.3531","C","2026-09-01T01:26:00Z","2026-09-01T01:10:00Z","2026-09-01T02:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0007-P3","SIM-S0007","SIM-S0007-MIX","MIX","MIX-1","Temperature","24.3104","C","2026-09-01T01:34:00Z","2026-09-01T01:10:00Z","2026-09-01T02:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0007-P4","SIM-S0007","SIM-S0007-MIX","MIX","MIX-1","Temperature","24.2898","C","2026-09-01T01:42:00Z","2026-09-01T01:10:00Z","2026-09-01T02:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0007-P5","SIM-S0007","SIM-S0007-MIX","MIX","MIX-1","Temperature","24.372","C","2026-09-01T01:50:00Z","2026-09-01T01:10:00Z","2026-09-01T02:00:00Z","SYNTHETIC","25","30","50","60"
