"QC_Record_ID","Batch_ID","Sample_ID","Analyte_ID","Value","Unit","Method_ID","Spec_Rev","LSL","USL","Qualifier","Sample_TS","Result_TS","Is_Final","Approval_Status","Spec_Status","Data_Origin","Target"
"SIM-S0001-Q-pH","SIM-S0001","SIM-S0001-S","pH","10.0991","pH","SIM-M-pH","SIM-Q02","9.5","10.5","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0001-Q-Solids","SIM-S0001","SIM-S0001-S","Solids","10.0388","wt%","SIM-M-Solids","SIM-Q02","9.5","10.5","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0001-Q-Viscosity","SIM-S0001","SIM-S0001-S","Viscosity","1.6806","mPa.s","SIM-M-Viscosity","SIM-Q02","1.2","2.2","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","1.7"
"SIM-S0001-Q-D50","SIM-S0001","SIM-S0001-S","D50","87.2721","nm","SIM-M-D50","SIM-Q02","75","105","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","90"
"SIM-S0001-Q-D90","SIM-S0001","SIM-S0001-S","D90","131.3531","nm","SIM-M-D90","SIM-Q02","110","180","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","130"
"SIM-S0001-Q-LPC_0p5","SIM-S0001","SIM-S0001-S","LPC_0p5","1151.9217","count/mL","SIM-M-LPC_0p5","SIM-Q02","","3000","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","1000"
"SIM-S0001-Q-LPC_1p0","SIM-S0001","SIM-S0001-S","LPC_1p0","73.7258","count/mL","SIM-M-LPC_1p0","SIM-Q02","","600","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","80"
"SIM-S0001-Q-Zeta","SIM-S0001","SIM-S0001-S","Zeta","-41.7026","mV","SIM-M-Zeta","SIM-Q02","-50","-30","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","-40"
"SIM-S0001-Q-Fe","SIM-S0001","SIM-S0001-S","Fe","0.2717","ug/kg","SIM-M-Fe","SIM-Q02","","1","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","0.3"
"SIM-S0002-Q-pH","SIM-S0002","SIM-S0002-S","pH","9.9853","pH","SIM-M-pH","SIM-Q02","9.5","10.5","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0002-Q-Solids","SIM-S0002","SIM-S0002-S","Solids","9.9662","wt%","SIM-M-Solids","SIM-Q02","9.5","10.5","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0002-Q-Viscosity","SIM-S0002","SIM-S0002-S","Viscosity","1.6756","mPa.s","SIM-M-Viscosity","SIM-Q02","1.2","2.2","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","1.7"
